Td	ID	Tj	Df	Dd	Db	
136	2680	133	0	3	3
136	2674	132	0	4	4
136	2640	125	0	11	11
136	2656	128	0	8	8
136	312	58	5	73	78
136	255	43	4	89	93
136	381	72	6	58	64
136	277	47	7	82	89
136	260	43	4	89	93
137	2619	121	0	16	16
137	2638	123	0	14	14
137	2613	121	0	16	16
137	2631	123	0	14	14
137	2642	125	0	12	12
137	2660	129	0	8	8
137	2661	129	0	8	8
138	2681	133	0	5	5
138	2686	133	0	5	5
138	2687	133	0	5	5
139	2597	116	0	23	23
139	2676	132	0	7	7
139	2682	133	0	6	6
139	2670	132	0	7	7
139	2634	123	0	16	16
139	2639	123	0	16	16
140	2580	115	1	24	25
140	2650	128	0	12	12
140	273	47	7	86	93
140	179	29	3	108	111
140	221	39	4	97	101
140	143	22	5	113	118
140	483	89	0	51	51
140	418	79	0	61	61
140	417	79	0	61	61
140	462	86	0	54	54
140	496	90	0	50	50
140	487	89	0	51	51
140	503	91	0	49	49
140	516	92	0	48	48
140	517	92	0	48	48
140	456	85	0	55	55
140	484	89	0	51	51
140	498	90	0	50	50
140	508	91	0	49	49
141	2658	128	0	13	13
141	2695	136	0	5	5
141	2698	136	0	5	5
141	524	94	0	47	47
141	526	94	0	47	47
141	525	94	0	47	47
141	454	85	0	56	56
141	529	94	0	47	47
141	452	85	0	56	56
141	426	81	0	60	60
141	427	81	0	60	60
142	2703	139	0	3	3
142	448	83	6	53	59
143	2679	132	0	11	11
143	2657	128	0	15	15
143	420	79	5	59	64
144	2708	139	0	5	5
144	2709	139	0	5	5
144	2505	105	0	39	39
145	2592	116	1	28	29
145	2598	116	1	28	29
145	2625	122	1	22	23
145	2629	122	1	22	23
145	2632	123	1	21	22
145	2637	123	1	21	22
145	2617	121	2	22	24
145	2714	140	0	5	5
145	2704	139	0	6	6
145	2678	132	0	13	13
145	678	129	0	16	16
146	2718	140	0	6	6
146	2717	140	0	6	6
146	2725	141	0	5	5
146	2702	139	0	7	7
146	2715	140	0	6	6
146	2596	116	0	30	30
146	687	130	0	16	16
146	688	130	0	16	16
146	732	139	0	7	7
146	691	133	0	13	13
146	702	135	0	11	11
146	721	137	0	9	9
146	703	135	0	11	11
146	730	137	0	9	9
146	697	133	0	13	13
146	724	137	0	9	9
146	683	130	0	16	16
146	677	129	0	17	17
146	699	133	0	13	13
147	253	43	11	93	104
148	2605	120	1	27	28
148	2607	120	1	27	28
148	2722	141	0	7	7
148	2724	141	0	7	7
148	2729	141	0	7	7
148	510	91	8	49	57
148	743	140	0	8	8
148	745	140	0	8	8
148	711	136	0	12	12
148	747	140	0	8	8
148	722	137	0	11	11
148	693	133	0	15	15
148	714	136	0	12	12
148	729	137	0	11	11
148	719	136	0	12	12
148	726	137	0	11	11
148	715	136	0	12	12
