Td	ID	Tj	Df	Dd	Db	
445	213	212	15	218	233
445	280	286	20	139	159
445	94	94	7	344	351
445	181	186	17	242	259
445	274	279	16	150	166
445	321	326	27	92	119
445	233	235	12	198	210
445	123	114	9	322	331
445	179	181	15	249	264
445	223	225	13	207	220
445	153	139	14	292	306
445	109	109	8	328	336
445	158	148	14	283	297
445	121	114	9	322	331
445	149	136	45	264	309
445	102	100	8	337	345
445	113	110	8	327	335
445	163	155	0	290	290
445	159	148	0	297	297
447	2365	444	0	3	3
455	2267	316	33	106	139
457	2154	178	17	262	279
457	2155	178	17	262	279
458	289	293	24	141	165
463	2378	461	0	2	2
464	2372	454	0	10	10
468	2282	327	34	107	141
468	2385	466	0	2	2
469	2283	327	35	107	142
474	2256	305	27	142	169
475	2128	154	15	306	321
475	2258	306	28	141	169
479	2398	478	0	1	1
483	2262	312	30	141	171
484	367	383	23	78	101
484	178	181	15	288	303
484	199	198	15	271	286
484	235	236	14	234	248
484	204	199	31	254	285
484	177	178	6	300	306
484	200	198	0	286	286
487	2396	478	0	9	9
492	2189	215	24	253	277
495	2067	98	4	393	397
505	2307	362	33	110	143
507	349	370	17	120	137
508	2332	398	34	76	110
509	2287	329	35	145	180
509	2415	505	0	4	4
511	2418	510	0	1	1
512	2242	276	27	209	236
513	2219	252	25	236	261
514	395	419	27	68	95
518	2072	106	5	407	412
519	2225	257	26	236	262
522	379	396	28	98	126
524	2423	517	0	7	7
526	2430	520	0	6	6
527	2210	234	25	268	293
527	2150	174	16	337	353
528	2264	314	30	184	214
529	2443	529	0	0	0
533	358	375	18	140	158
533	322	334	24	175	199
533	336	340	22	171	193
533	310	319	22	192	214
533	402	423	28	82	110
533	225	225	13	295	308
533	273	272	17	244	261
533	202	199	14	320	334
533	93	91	15	427	442
533	154	141	14	378	392
533	128	120	12	401	413
533	91	91	6	436	442
533	126	116	0	417	417
535	2439	527	0	8	8
535	368	383	50	102	152
538	2448	535	0	3	3
539	2444	532	0	7	7
544	2078	109	6	429	435
544	2350	426	36	82	118
546	2168	199	19	328	347
550	2329	394	34	122	156
552	2281	326	34	192	226
553	357	374	18	161	179
555	2450	551	0	4	4
556	2454	554	0	2	2
557	2285	329	35	193	228
557	2452	551	0	6	6
558	2453	554	0	4	4
562	2206	224	27	311	338
567	2245	281	26	260	286
568	2457	563	0	5	5
569	2248	282	25	262	287
570	2463	569	0	1	1
571	2288	338	36	197	233
571	2467	570	0	1	1
576	2472	573	0	3	3
580	237	236	14	330	344
585	2087	113	8	464	472
586	2343	418	34	134	168
587	2120	146	13	428	441
590	2269	316	33	241	274
590	2478	588	0	2	2
598	2349	426	36	136	172
601	2169	199	19	383	402
602	348	362	17	223	240
604	2305	359	35	210	245
605	2480	598	0	7	7
605	2491	604	0	1	1
606	2484	601	0	5	5
608	2490	604	0	4	4
609	2388	470	37	102	139
610	2489	604	0	6	6
612	507	539	71	2	73
613	2488	603	0	10	10
614	2497	607	0	7	7
615	2496	607	0	8	8
616	2486	603	2	11	13
616	245	251	14	351	365
619	2487	603	0	16	16
620	2503	611	0	9	9
623	345	355	17	251	268
624	2504	621	0	3	3
627	301	309	22	296	318
628	2187	210	22	396	418
628	2335	411	34	183	217
628	449	482	34	112	146
630	2512	629	0	1	1
630	2507	623	0	7	7
633	2316	379	33	221	254
634	461	487	34	113	147
636	2505	621	0	15	15
638	453	483	138	17	155
639	2516	638	0	1	1
640	2520	639	0	1	1
641	2511	629	0	12	12
643	2523	642	0	1	1
643	312	319	44	280	324
645	2522	642	0	3	3
646	2527	643	0	3	3
646	2517	638	0	8	8
648	2322	383	36	229	265
652	2135	164	15	473	488
652	267	269	37	346	383
652	476	499	35	118	153
652	377	393	27	232	259
652	347	362	38	252	290
652	389	417	59	176	235
652	427	458	33	161	194
652	212	212	15	425	440
652	291	293	24	335	359
652	258	265	16	371	387
652	442	474	34	144	178
652	393	418	27	207	234
652	222	217	15	420	435
652	390	417	27	208	235
652	448	482	70	100	170
652	296	299	22	331	353
652	353	371	18	263	281
652	382	397	29	226	255
652	373	389	25	238	263
652	398	420	27	205	232
652	238	243	17	392	409
652	138	127	28	497	525
652	318	321	27	304	331
652	252	260	16	376	392
652	205	200	15	437	452
652	334	340	22	290	312
652	168	159	14	479	493
652	248	253	15	384	399
652	164	155	13	484	497
652	172	165	32	455	487
652	231	233	10	409	419
652	256	265	16	371	387
652	151	139	14	499	513
652	206	200	15	437	452
652	118	112	3	537	540
656	2538	655	0	1	1
657	2353	427	37	193	230
657	2532	650	0	7	7
659	2195	219	26	414	440
659	2140	166	15	478	493
659	2535	654	0	5	5
660	2541	656	0	4	4
660	2542	656	0	4	4
661	600	659	0	2	2
666	422	450	34	182	216
667	2109	127	13	527	540
667	2545	659	0	8	8
668	246	251	14	403	417
668	144	130	14	524	538
668	114	110	0	558	558
671	2142	169	16	486	502
673	2175	204	22	447	469
674	362	377	19	278	297
676	307	315	45	316	361
678	2562	677	0	1	1
678	613	677	0	1	1
680	2428	518	52	110	162
680	2564	678	0	2	2
681	2558	676	0	5	5
681	432	462	34	185	219
683	2565	678	0	5	5
683	2546	666	0	17	17
685	2549	667	0	18	18
687	2567	681	0	6	6
687	2572	685	0	2	2
687	2570	685	0	2	2
687	2553	668	0	19	19
689	2261	312	28	349	377
693	2575	689	0	4	4
693	627	690	0	3	3
694	299	304	21	369	390
695	2339	415	34	246	280
695	2573	689	0	6	6
696	2369	450	36	210	246
702	2576	693	0	9	9
704	2213	239	24	441	465
704	2574	689	0	15	15
707	2268	316	33	358	391
708	2581	703	0	5	5
708	459	486	34	188	222
709	523	557	75	77	152
710	2579	703	0	7	7
712	2237	269	25	418	443
713	2276	322	33	358	391
713	2582	710	0	3	3
715	2405	498	44	173	217
716	2250	297	26	393	419
717	328	338	22	357	379
719	2383	465	36	218	254
719	528	564	38	117	155
721	2252	300	26	395	421
721	558	605	37	79	116
721	642	705	0	16	16
722	2583	710	0	12	12
724	2586	718	0	6	6
724	2587	718	0	6	6
725	385	405	94	226	320
728	2588	723	0	5	5
736	2361	438	36	262	298
738	2224	254	25	459	484
739	2593	734	0	5	5
741	375	389	53	299	352
747	2599	745	0	2	2
750	542	592	71	87	158
753	2366	447	36	270	306
756	2604	755	0	1	1
757	458	486	70	201	271
760	2600	751	0	9	9
761	2233	261	27	473	500
762	2152	174	17	571	588
763	470	496	34	233	267
763	251	260	16	487	503
763	495	530	74	159	233
763	437	470	35	258	293
763	174	165	16	582	598
763	276	279	41	443	484
763	272	272	17	474	491
763	175	178	15	570	585
763	388	417	26	320	346
763	363	377	19	367	386
763	254	264	15	484	499
763	320	326	27	410	437
763	292	297	23	443	466
763	184	189	17	557	574
763	333	339	22	402	424
763	266	269	16	478	494
763	196	196	15	552	567
763	145	135	29	599	628
763	214	213	0	550	550
768	2612	762	0	6	6
770	679	741	4	25	29
772	2275	320	34	418	452
772	532	566	39	167	206
773	2619	770	0	3	3
775	2136	164	16	595	611
775	2623	773	0	2	2
775	2621	773	0	2	2
776	2624	774	0	2	2
778	2407	498	44	236	280
779	2632	777	0	2	2
779	433	469	35	275	310
779	330	338	39	402	441
780	677	739	6	35	41
782	2628	776	0	6	6
783	2627	776	0	7	7
783	2631	777	0	6	6
785	2625	774	0	11	11
788	2630	777	0	11	11
791	2158	184	17	590	607
793	2641	789	0	4	4
795	602	663	40	92	132
796	2392	472	40	284	324
798	2458	563	52	183	235
798	2646	794	0	4	4
801	2653	798	0	3	3
802	2461	565	53	184	237
805	2656	799	0	6	6
809	530	565	39	205	244
811	2289	338	36	437	473
811	2660	809	0	2	2
812	2663	812	0	0	0
819	2188	210	23	586	609
823	2671	821	0	2	2
825	2119	144	13	668	681
828	2672	824	0	4	4
830	682	743	46	41	87
831	2678	828	0	3	3
832	2679	828	0	4	4
834	2445	532	53	249	302
834	2680	828	0	6	6
835	396	419	27	389	416
840	2683	835	0	5	5
841	645	707	47	87	134
845	2104	123	12	710	722
845	585	634	37	174	211
848	378	393	27	428	455
850	649	716	48	86	134
851	615	677	40	134	174
852	2689	843	0	9	9
857	2695	857	0	0	0
860	2199	220	27	613	640
861	2413	504	49	308	357
861	2694	857	0	4	4
870	2699	861	0	9	9
878	2704	873	0	5	5
881	570	622	38	221	259
882	2705	881	0	1	1
887	2466	570	51	266	317
890	2710	889	0	1	1
894	2429	520	52	322	374
900	2436	523	54	323	377
900	2719	898	0	2	2
900	694	763	40	97	137
901	2437	523	54	324	378
902	2368	447	36	419	455
903	2717	898	0	5	5
903	2712	892	0	11	11
908	616	678	41	189	230
908	618	678	41	189	230
916	2730	914	0	2	2
920	2214	239	24	657	681
920	2734	916	0	4	4
922	2449	535	53	334	387
922	2323	383	36	503	539
934	2743	932	0	2	2
936	2544	659	60	217	277
939	2494	605	58	276	334
